"table","section","group_label","characteristic","gender","metric","value"
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Persons","Used SPF30 or higher sunscreen on most days",681.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Persons","Did not use SPF30 or higher sunscreen on most days",1217
"Table 1a","Estimate ('000)","Labour force status and Occupation","Technicians and Trade Workers","Persons","Total",1894.9
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Males","Used SPF30 or higher sunscreen on most days",123.8
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Males","Did not use SPF30 or higher sunscreen on most days",344.2
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Males","Total",462.2
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Females","Used SPF30 or higher sunscreen on most days",619.3
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Females","Did not use SPF30 or higher sunscreen on most days",531
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Females","Total",1141.3
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Persons","Used SPF30 or higher sunscreen on most days",731.3
"Table 1a","Estimate ('000)","Labour force status and Occupation","Community and Personal Service Workers","Persons","Did not use SPF30 or higher sunscreen on most days",860.7
